date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,cloud_cover_mean,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,rain_sum
2020-09-19,27.347084,23.100918,76.49597,87.67257,64.517395,0.26842344,,24.878069,27.347084,23.100918,12.670866,15.849426
2020-09-20,28.044313,21.603342,79.56121,87.6986,67.59331,0.6740988,,24.276106,28.044313,21.603342,12.026555,15.317796
2020-09-21,27.791538,21.755768,78.62645,87.724625,65.66922,0.27087256,,24.324142,27.791538,21.755768,11.381656,15.900238
2020-09-22,25.738771,23.808191,81.69169,87.750656,75.745125,0.8163688,,24.522182,25.738771,23.808191,12.362857,14.528722
2020-09-23,27.185999,23.260618,72.75692,86.7767,51.82103,0.27339104,,24.720217,27.185999,23.260618,11.066547,15.39155
2020-09-24,28.083227,22.913044,75.82216,87.80273,60.896942,0.68669295,,25.368261,28.083227,22.913044,11.39723,13.734458
2020-09-25,27.280455,21.865467,82.88739,87.828766,69.97285,1.2419182,,24.316296,27.280455,21.865467,10.099294,12.072019
2020-09-26,25.227682,22.917892,82.95263,87.85479,72.04875,3.3276641,,24.314333,25.227682,22.917892,9.452038,20.808434
2020-09-27,26.32491,22.520319,73.01786,87.88083,67.124664,1.9505367,,24.562372,26.32491,22.520319,15.325809,22.531704
2020-09-28,26.92214,24.272741,74.083115,77.90685,65.20058,0.42001596,,25.210411,26.92214,24.272741,16.963953,20.875286
2020-09-29,26.969364,24.125166,75.14834,84.93289,64.27648,0.5627865,,25.458448,26.969364,24.125166,15.013425,18.083292
2020-09-30,27.066593,24.327593,74.21358,85.95892,66.35239,0.84838945,,25.806486,27.066593,24.327593,13.061114,18.11234
2020-10-01,27.46382,23.880018,73.278824,87.984955,60.42829,0.8526624,,25.654524,27.46382,23.880018,13.393757,18.424904
2020-10-02,26.711048,24.832443,69.344055,78.010994,59.50421,1.1426665,,25.752565,26.711048,24.832443,14.053528,20.725843
2020-10-03,27.558279,24.934868,74.40929,85.03702,57.58011,1.5792397,,25.700602,27.558279,24.934868,15.694829,18.199818
2020-10-04,26.805506,24.237295,76.47452,87.06305,65.65602,2.308999,,25.19864,26.805506,24.237295,14.066377,20.507729
2020-10-05,27.502731,22.73972,73.53976,88.08908,58.731926,0.29013833,,24.946678,27.502731,22.73972,15.381903,16.261404
2020-10-06,27.549961,23.242144,75.60501,87.11512,65.80784,0.14583771,,25.194717,27.549961,23.242144,12.114696,16.573324
2020-10-07,27.147188,22.794569,79.67024,88.14115,69.88374,1.3195647,,24.892756,27.147188,22.794569,12.44781,16.02759
2020-10-08,26.94442,22.146994,79.73547,88.167175,69.959656,0.58964515,,24.590794,26.94442,22.146994,11.470333,15.480065
2020-10-09,28.491646,22.999418,75.80072,88.19322,58.03556,0.88930136,,25.488832,28.491646,22.999418,10.491961,15.2178755
2020-10-10,27.838875,22.501844,73.86595,84.219246,63.111465,0.14903551,,25.38687,27.838875,22.501844,11.152811,15.529991
2020-10-11,28.636103,25.204266,70.93119,86.24528,50.187378,1.198939,,26.534908,28.636103,25.204266,11.157914,18.435587
2020-10-12,29.13333,23.806692,70.99642,88.27132,53.263283,0.15071286,,26.132948,29.13333,23.806692,14.117942,17.311232
2020-10-13,30.730558,23.609118,76.06166,88.29734,54.339195,1.2125784,,26.280983,30.730558,23.609118,12.482035,15.316255
2020-10-14,27.777786,25.261543,80.12691,88.32338,71.4151,1.5244602,,26.179026,27.777786,25.261543,11.830501,17.367136
2020-10-15,28.625013,24.913969,73.19214,85.34942,57.491013,0.1533344,,26.527061,28.625013,24.913969,13.479801,16.525412
2020-10-16,27.122242,24.766394,77.25738,86.37545,68.56692,0.9254268,,25.9251,27.122242,24.766394,13.157052,16.261703
2020-10-17,27.569468,25.018818,78.32261,85.40148,63.642822,4.3443856,,25.823141,27.569468,25.018818,11.846773,18.905682
2020-10-18,28.216696,24.271242,67.38785,88.42752,51.718735,0.15609123,,26.121178,28.216696,24.271242,14.156803,20.975513
2020-10-19,28.013926,23.823668,67.45309,75.453545,60.79464,0.3140841,,25.919214,28.013926,23.823668,15.810189,22.760206
2020-10-20,28.161152,24.926092,76.51832,88.47958,63.870552,1.580095,,26.367252,28.161152,24.926092,16.14697,20.458849
2020-10-21,28.30838,25.228516,73.58356,88.50561,50.946457,0.6359763,,26.365292,28.30838,25.228516,14.835655,20.491938
2020-10-22,27.455606,22.980942,77.6488,88.53164,65.02237,3.0399272,,25.46333,27.455606,22.980942,14.8424635,19.938665
2020-10-23,26.252834,23.983368,82.71403,88.55768,80.098274,4.9915047,,25.261366,26.252834,23.983368,14.849276,17.327723
2020-10-24,27.700064,22.735792,75.779274,88.58371,62.174187,0.32410976,,25.409405,27.700064,22.735792,12.215011,15.590784
2020-10-25,26.897293,24.588217,83.84451,88.60974,78.2501,4.730263,,25.707445,26.897293,24.588217,11.560046,18.857101
2020-10-26,28.694519,23.99064,78.90974,88.635765,62.326004,1.1493276,,26.055481,28.694519,23.99064,14.208866,17.412056
2020-10-27,28.441748,24.393064,77.97498,88.661804,65.40192,0.6611477,,26.203522,28.441748,24.393064,12.562441,17.14468
2020-10-28,28.438974,24.245495,77.04022,88.687836,61.47782,0.33280966,,26.151558,28.438974,24.245495,12.568213,17.764631
2020-10-29,28.136204,24.097918,77.10545,88.713875,67.553734,0.33508787,,25.799599,28.136204,24.097918,12.57399,15.717544
2020-10-30,27.583433,23.300343,77.1707,86.7399,66.62964,0.50611484,,25.547638,27.583433,23.300343,11.586632,16.33712
2020-10-31,27.73066,24.452768,79.23593,88.76594,65.70554,0.50966525,,25.595675,27.73066,24.452768,11.923158,18.44628
2020-11-01,27.578722,24.354715,77.30006,88.79598,65.77703,2.3910484,,25.944075,27.578722,24.354715,13.251792,19.961813
2020-11-02,27.08263,24.653332,81.356384,88.854195,73.81763,2.3739681,,25.694996,27.08263,24.653332,15.556826,19.065044
2020-11-03,25.136538,24.951948,91.41271,88.9124,92.85823,22.561045,,24.745922,25.136538,24.951948,13.889298,18.168552
2020-11-04,27.690443,24.700563,86.46904,88.97061,72.89882,13.708709,,25.296846,27.690443,24.700563,12.555152,16.081139
